[2024-11-12 16:17:19,797:INFO:main:Welcome to our custom log]
[2024-11-18 20:09:16,587:INFO:common:yaml file:config\config.yaml loaded sucessfully]
[2024-11-18 20:09:16,595:INFO:common:yaml file:params.yaml loaded sucessfully]
[2024-11-18 20:23:23,408:INFO:common:yaml file:config\config.yaml loaded sucessfully]
[2024-11-18 20:23:23,413:INFO:common:yaml file:params.yaml loaded sucessfully]
[2024-11-18 20:29:02,554:INFO:common:yaml file:config\config.yaml loaded sucessfully]
[2024-11-18 20:29:02,558:INFO:common:yaml file:params.yaml loaded sucessfully]
[2024-11-18 20:37:22,600:INFO:common:yaml file:config\config.yaml loaded sucessfully]
[2024-11-18 20:37:22,603:INFO:common:yaml file:params.yaml loaded sucessfully]
[2024-11-18 20:42:30,053:INFO:common:yaml file:config\config.yaml loaded sucessfully]
[2024-11-18 20:42:30,054:INFO:common:yaml file:params.yaml loaded sucessfully]
[2024-11-18 20:43:11,491:INFO:common:yaml file:config\config.yaml loaded sucessfully]
[2024-11-18 20:43:11,491:INFO:common:yaml file:params.yaml loaded sucessfully]
[2024-11-18 20:46:06,343:INFO:common:yaml file:config\config.yaml loaded sucessfully]
[2024-11-18 20:46:06,346:INFO:common:yaml file:params.yaml loaded sucessfully]
[2024-11-18 20:54:27,608:INFO:common:yaml file:config\config.yaml loaded sucessfully]
[2024-11-18 20:54:27,608:INFO:common:yaml file:params.yaml loaded sucessfully]
[2024-11-18 21:19:45,184:INFO:common:yaml file:config\config.yaml loaded sucessfully]
[2024-11-18 21:19:45,187:INFO:common:yaml file:params.yaml loaded sucessfully]
[2024-11-18 21:25:54,710:INFO:common:yaml file:config\config.yaml loaded sucessfully]
[2024-11-18 21:25:54,710:INFO:common:yaml file:params.yaml loaded sucessfully]
[2024-11-25 22:55:28,742:INFO:common:yaml file:config\config.yaml loaded sucessfully]
[2024-11-25 22:55:28,757:INFO:common:yaml file:params.yaml loaded sucessfully]
[2024-11-25 23:10:22,687:INFO:common:yaml file:config\config.yaml loaded sucessfully]
[2024-11-25 23:10:22,691:INFO:common:yaml file:params.yaml loaded sucessfully]
[2024-11-25 23:23:49,211:INFO:common:yaml file:config\config.yaml loaded sucessfully]
[2024-11-25 23:23:49,222:INFO:common:yaml file:params.yaml loaded sucessfully]
[2024-11-25 23:23:49,227:INFO:common:Created directory at :artifacts]
[2024-11-25 23:23:49,227:INFO:common:Created directory at :artifacts/data_ingestion]
[2024-11-25 23:23:49,230:INFO:986331348:Downloading data from https://drive.google.com/file/d/1ckBFV4rP4tiCP5Q8xTpZTH2naliiU01m/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-26 17:06:31,822:INFO:common:yaml file:config\config.yaml loaded sucessfully]
[2024-11-26 17:06:31,835:INFO:common:yaml file:params.yaml loaded sucessfully]
[2024-11-26 17:06:31,837:INFO:common:Created directory at :artifacts]
[2024-11-26 17:06:31,838:INFO:common:Created directory at :artifacts/data_ingestion]
[2024-11-26 17:06:31,840:INFO:986331348:Downloading data from https://drive.google.com/file/d/1ckBFV4rP4tiCP5Q8xTpZTH2naliiU01m/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-26 17:08:20,123:INFO:common:yaml file:config\config.yaml loaded sucessfully]
[2024-11-26 17:08:20,125:INFO:common:yaml file:params.yaml loaded sucessfully]
[2024-11-26 17:08:20,126:INFO:common:Created directory at :artifacts]
[2024-11-26 17:08:20,128:INFO:common:Created directory at :artifacts/data_ingestion]
[2024-11-26 17:08:20,129:INFO:986331348:Downloading data from https://drive.google.com/file/d/1ckBFV4rP4tiCP5Q8xTpZTH2naliiU01m/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-26 17:16:02,477:INFO:common:yaml file:config\config.yaml loaded sucessfully]
[2024-11-26 17:16:02,477:INFO:common:yaml file:params.yaml loaded sucessfully]
[2024-11-26 17:16:02,483:INFO:common:Created directory at :artifacts]
[2024-11-26 17:16:02,485:INFO:common:Created directory at :artifacts/data_ingestion]
[2024-11-26 17:16:02,487:INFO:986331348:Downloading data from https://drive.google.com/file/d/1CkBfV4rP4tiCP5Q8XTpZTH2naliiuO1m/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-26 17:30:06,209:INFO:986331348:Downloaded data from https://drive.google.com/file/d/1CkBfV4rP4tiCP5Q8XTpZTH2naliiuO1m/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-26 22:39:58,418:INFO:main:>>>>>>stageData Ingestion stage  started <<<<<<]
[2024-11-26 22:39:58,461:INFO:common:yaml file:config\config.yaml loaded sucessfully]
[2024-11-26 22:39:58,473:INFO:common:yaml file:params.yaml loaded sucessfully]
[2024-11-26 22:39:58,476:INFO:common:Created directory at :artifacts]
[2024-11-26 22:39:58,476:INFO:common:Created directory at :artifacts/data_ingestion]
[2024-11-26 22:39:58,476:INFO:data_ingestion:Downloading data from https://drive.google.com/file/d/1CkBfV4rP4tiCP5Q8XTpZTH2naliiuO1m/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-26 22:52:13,087:INFO:data_ingestion:Downloaded data from https://drive.google.com/file/d/1CkBfV4rP4tiCP5Q8XTpZTH2naliiuO1m/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-26 22:52:24,869:INFO:main:>>>>>> stage Data Ingestion stage  completed <<<<<<

x==========x]
